Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 13, 0, -9, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 19, 0, 1, 25.0, 1-30, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 5, 0, -19, 25.0, 1-31, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 15, 0, 10, 25.0, 1-32, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -7, 0, 11, 25.0, 1-33, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 10, 0, -1, 25.0, 1-34, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -19, 0, -17, 25.0, 1-35, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
10, 17, 0, -3, 25.0, 1-16, g_bush, Bush, 0-067-358-000, DIED, 2-4, g_sheep, Sheep, 0-067-354-119, PREY
10, 17, 0, -4, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, EAT, 1-16, g_bush, Bush, 0-067-358-000, heMenjatPes=3.9 pes=79.7
10, 5, 0, -19, 25.0, 1-31, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
10, 5, 0, -19, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-31, g_bush, Bush, 0-067-358-000, heMenjatPes=4.1 pes=83.5
10, 10, 0, -1, 25.0, 1-34, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
10, 10, 0, 0, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-34, g_bush, Bush, 0-067-358-000, heMenjatPes=4.0 pes=81.3
11, 0, 0, -15, 25.0, 1-15, g_bush, Bush, 0-067-358-000, DIED, 2-1, g_sheep, Sheep, 0-067-354-119, PREY
11, 1, 0, -15, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, EAT, 1-15, g_bush, Bush, 0-067-358-000, heMenjatPes=4.1 pes=83.6
16, 7, 0, -30, 25.0, 1-14, g_bush, Bush, 0-067-358-000, DIED, 2-3, g_sheep, Sheep, 0-067-354-119, PREY
16, 8, 0, -30, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, EAT, 1-14, g_bush, Bush, 0-067-358-000, heMenjatPes=4.2 pes=85.0
17, 2, 0, -18, 25.0, 1-12, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
17, 4, 0, -20, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-12, g_bush, Bush, 0-067-358-000, heMenjatPes=9.2 pes=83.5
23, -2, 0, -3, 25.0, 1-19, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
23, -2, 0, -3, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-19, g_bush, Bush, 0-067-358-000, heMenjatPes=9.1 pes=81.3
25, -19, 0, -17, 25.0, 1-35, g_bush, Bush, 0-067-358-000, DIED, 2-1, g_sheep, Sheep, 0-067-354-119, PREY
25, -18, 0, -17, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, EAT, 1-35, g_bush, Bush, 0-067-358-000, heMenjatPes=9.3 pes=83.6
26, -11, 0, -26, 25.0, 1-8, g_bush, Bush, 0-067-358-000, DIED, 2-3, g_sheep, Sheep, 0-067-354-119, PREY
26, -10, 0, -26, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, EAT, 1-8, g_bush, Bush, 0-067-358-000, heMenjatPes=8.4 pes=85.0
32, -6, 0, -2, 25.0, 1-17, g_bush, Bush, 0-067-358-000, DIED, 2-4, g_sheep, Sheep, 0-067-354-119, PREY
32, -6, 0, -3, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, EAT, 1-17, g_bush, Bush, 0-067-358-000, heMenjatPes=11.1 pes=79.7
34, -1, 0, 11, 25.0, 1-20, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
34, -1, 0, 10, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-20, g_bush, Bush, 0-067-358-000, heMenjatPes=13.2 pes=81.3
