Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -90, 0, 18, 25.0, 7-98, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -11, 0, -142, 25.0, 7-99, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -104, 0, 102, 25.0, 7-100, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -5, 42, -225, 24.6, 7-101, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -217, 36, -3, 24.6, 7-102, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -156, 0, 57, 25.0, 7-103, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 72, 0, -209, 25.0, 7-104, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -41, 0, -41, 25.0, 7-105, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 95, 0, 8, 25.0, 7-106, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -110, 0, -110, 25.0, 7-107, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 40, 0, 92, 25.0, 7-108, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -86, 0, 101, 25.0, 7-109, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 43, 0, -86, 25.0, 7-110, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -146, 0, -84, 25.0, 7-111, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 72, 0, -11, 25.0, 7-112, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 27, 0, -56, 25.0, 7-113, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 86, 0, 44, 25.0, 7-114, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -38, 0, 93, 25.0, 7-115, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -65, 25, -208, 24.7, 7-116, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 156, 0, 13, 25.0, 7-117, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -28, 0, -118, 25.0, 7-118, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 47, 0, -112, 25.0, 7-119, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -111, 0, -127, 25.0, 7-120, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -95, 0, 96, 25.0, 7-121, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -95, 0, -38, 25.0, 7-122, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 84, 0, -180, 25.0, 7-123, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 27, 0, -23, 25.0, 7-124, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -78, 0, -158, 25.0, 7-125, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 44, 0, 109, 25.0, 7-126, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -172, 0, -81, 25.0, 7-127, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 18, 0, -100, 25.0, 7-128, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 140, 0, -79, 25.0, 7-129, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -135, 0, -17, 25.0, 7-130, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 23, 0, 74, 25.0, 7-131, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -83, 0, -44, 25.0, 7-132, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -32, 0, -187, 25.0, 7-133, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -71, 18, -205, 24.8, 7-134, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -24, 0, -59, 25.0, 7-135, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -99, 0, -67, 25.0, 7-136, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -49, 0, 141, 25.0, 7-137, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -48, 0, 132, 25.0, 7-138, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 136, 0, 37, 25.0, 7-139, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -165, 0, -172, 25.0, 7-140, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -217, 21, -63, 24.8, 7-141, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -162, 0, -97, 25.0, 7-142, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 99, 0, -183, 25.0, 7-143, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 39, 0, 121, 25.0, 7-144, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 135, 0, -41, 25.0, 7-145, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -121, 0, -191, 25.0, 7-146, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -5, 0, -103, 25.0, 7-147, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -163, 0, -85, 25.0, 7-148, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 115, 0, -42, 25.0, 7-149, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -67, 0, 55, 25.0, 7-150, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -187, 0, 76, 25.0, 7-151, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -19, 0, 134, 25.0, 7-152, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -81, 0, 143, 25.0, 7-153, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -30, 0, 116, 25.0, 7-154, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -100, 0, 63, 25.0, 7-155, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 48, 0, 147, 25.0, 7-156, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -82, 0, 102, 25.0, 7-157, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -101, 22, -207, 24.8, 7-158, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 52, 0, 53, 25.0, 7-159, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -49, 45, -222, 24.5, 7-160, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -77, 0, -139, 25.0, 7-161, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -217, 17, -33, 24.8, 7-162, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -86, 0, 97, 25.0, 7-163, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -79, 0, 150, 25.0, 7-164, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -91, 0, -45, 25.0, 7-165, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -22, 0, -60, 25.0, 7-166, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 148, 0, 54, 25.0, 7-167, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 139, 0, -26, 25.0, 7-168, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 80, 0, -8, 25.0, 7-169, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 90, 0, 89, 25.0, 7-170, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 110, 0, -80, 25.0, 7-171, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -155, 0, -122, 25.0, 7-172, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -187, 0, -87, 25.0, 7-173, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 30, 0, -183, 25.0, 7-174, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -201, 0, -108, 25.0, 7-175, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 36, 0, 84, 25.0, 7-176, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -5, 0, 92, 25.0, 7-177, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -86, 0, -66, 25.0, 7-178, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -84, 0, 79, 25.0, 7-179, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -118, 0, 98, 25.0, 7-180, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -104, 0, 144, 25.0, 7-181, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -142, 0, -44, 25.0, 7-182, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 14, 0, -117, 25.0, 7-183, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -143, 0, -31, 25.0, 7-184, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 96, 0, 45, 25.0, 7-185, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 128, 0, -156, 25.0, 7-186, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 48, 0, -164, 25.0, 7-187, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -110, 0, -94, 25.0, 7-188, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -75, 0, -76, 25.0, 7-189, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 45, 0, -25, 25.0, 7-190, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 125, 0, 87, 25.0, 7-191, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -96, 0, 24, 25.0, 7-192, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 7, 0, -211, 25.0, 7-193, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
