Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
42, 45, 0, -149, 25.0, 4-42, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
42, 6, 0, -86, 25.0, 4-36, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
43, 8, 0, 59, 25.0, 4-68, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-12, 2
43, 28, 0, 69, 25.0, 4-69, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-12, 2
43, 21, 0, 52, 25.0, 4-12, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
45, 46, 0, 66, 25.0, 4-70, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-22, 2
45, 27, 0, 59, 25.0, 4-22, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
47, 45, 0, -51, 25.0, 4-71, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-27, 2
47, 64, 0, -48, 25.0, 4-72, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-27, 2
47, 50, 0, -71, 25.0, 4-73, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-27, 2
47, 58, 0, -53, 25.0, 4-27, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
48, -116, 0, -23, 25.0, 4-74, g_conill_blau_escas, Blue rabbit2, 0-077-350-110, BORN, , , , , 4-34, 2
48, -103, 0, -30, 25.0, 4-34, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
50, -50, 0, 19, 25.0, 4-75, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-4, 2
50, -70, 0, 15, 25.0, 4-76, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-4, 2
50, -60, 0, 11, 25.0, 4-77, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-4, 2
50, -55, 0, 26, 25.0, 4-4, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
50, -35, 0, -79, 25.0, 4-78, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-30, 2
50, -44, 0, -90, 25.0, 4-30, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
50, -85, 0, -9, 25.0, 4-79, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-31, 2
50, -89, 0, -23, 25.0, 4-31, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
50, 14, 0, 12, 25.0, 4-80, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-32, 2
50, 5, 0, 14, 25.0, 4-32, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
50, -13, 0, -198, 25.0, 4-81, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-26, 2
50, -6, 0, -191, 25.0, 4-82, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-26, 2
50, -17, 0, -178, 25.0, 4-26, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
51, 14, 0, -5, 25.0, 4-2, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
51, -73, 0, -127, 25.0, 4-25, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
51, -61, 0, -21, 25.0, 4-83, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-44, 2
51, -66, 0, -34, 25.0, 4-44, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
52, -62, 0, -99, 25.0, 4-7, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
52, 73, 0, 17, 25.0, 4-84, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-18, 2
52, 63, 0, 29, 25.0, 4-85, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-18, 2
52, 54, 0, 23, 25.0, 4-18, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
53, -59, 0, -18, 25.0, 4-9, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
54, 38, 0, 15, 25.0, 4-3, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
54, -72, 0, -106, 25.0, 4-23, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
54, 89, 0, -49, 25.0, 4-86, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-43, 2
54, 79, 0, -49, 25.0, 4-43, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
55, -94, 0, 43, 25.0, 4-87, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-11, 2
55, -89, 0, 45, 25.0, 4-88, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-11, 2
55, -91, 0, 27, 25.0, 4-89, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-11, 2
55, -80, 0, 30, 25.0, 4-11, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
55, 36, 0, 4, 25.0, 4-5, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
55, 10, 0, -61, 25.0, 4-90, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-8, 2
55, 24, 0, -60, 25.0, 4-8, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
55, -33, 0, -169, 25.0, 4-91, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-29, 2
55, -34, 0, -156, 25.0, 4-92, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-29, 2
55, -23, 0, -172, 25.0, 4-29, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
56, 62, 0, 62, 25.0, 4-93, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-70, 3
56, 62, 0, 65, 25.0, 4-94, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-70, 3
56, 33, 0, 84, 25.0, 4-95, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-70, 3
56, 48, 0, 74, 25.0, 4-70, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
57, -26, 0, -105, 25.0, 4-96, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-14, 2
57, -35, 0, -107, 25.0, 4-97, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-14, 2
57, -10, 0, -104, 25.0, 4-98, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-14, 2
57, -25, 0, -107, 25.0, 4-14, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
59, 47, 0, -11, 25.0, 4-99, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-63, 3
59, 61, 0, -28, 25.0, 4-100, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-63, 3
59, 50, 0, -26, 25.0, 4-63, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
59, 53, 0, -164, 25.0, 4-101, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-66, 3
59, 54, 0, -141, 25.0, 4-102, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-66, 3
59, 55, 0, -146, 25.0, 4-66, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
59, -10, 0, 4, 25.0, 4-103, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-1, 2
59, -17, 0, 23, 25.0, 4-1, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
59, -67, 0, 73, 25.0, 4-104, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-50, 2
59, -79, 0, 86, 25.0, 4-105, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-50, 2
59, -68, 0, 91, 25.0, 4-106, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-50, 2
59, -73, 0, 86, 25.0, 4-50, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
