Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -135, 0, 53, 25.0, 7-110, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 79, 0, 41, 25.0, 7-111, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -52, 0, 10, 25.0, 7-112, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 16, 24, -220, 24.8, 7-113, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -132, 0, -45, 25.0, 7-114, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -137, 0, -145, 25.0, 7-115, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 110, 0, -160, 25.0, 7-116, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -98, 0, -41, 25.0, 7-117, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -113, 0, -75, 25.0, 7-118, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -58, 0, 10, 25.0, 7-119, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -83, 0, 133, 25.0, 7-120, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 38, 0, -132, 25.0, 7-121, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -54, 0, 107, 25.0, 7-122, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -116, 0, 34, 25.0, 7-123, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -190, 0, 59, 25.0, 7-124, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -35, 13, -212, 24.9, 7-125, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -214, 35, 20, 24.6, 7-126, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -37, 0, 117, 25.0, 7-127, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -22, 0, -106, 25.0, 7-128, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -87, 0, -59, 25.0, 7-129, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -43, 0, 103, 25.0, 7-130, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -49, 0, 148, 25.0, 7-131, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 130, 0, 54, 25.0, 7-132, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -35, 0, 126, 25.0, 7-133, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -17, 0, -32, 25.0, 7-134, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -159, 0, 7, 25.0, 7-135, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -142, 0, 43, 25.0, 7-136, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 35, 0, -93, 25.0, 7-137, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -105, 0, 14, 25.0, 7-138, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -157, 0, -170, 25.0, 7-139, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -135, 0, -26, 25.0, 7-140, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -102, 0, 30, 25.0, 7-141, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -4, 0, -105, 25.0, 7-142, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -82, 0, -75, 25.0, 7-143, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 22, 0, -121, 25.0, 7-144, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -30, 0, -111, 25.0, 7-145, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
