Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
67, 19, 0, -21, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
69, 39, 0, -13, 25.0, 2-38, g_sheep, Sheep, 0-067-354-119, BORN, , , , , 2-5, 2
69, 34, 0, -8, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
73, 29, 0, -4, 25.0, 1-24, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
73, 30, 0, -4, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-24, g_bush, Bush, 0-067-358-000, heMenjatPes=34.3 pes=77.1
74, 10, 0, -21, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
87, 29, 0, 0, 25.0, 1-13, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
87, 28, 0, -1, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-13, g_bush, Bush, 0-067-358-000, heMenjatPes=44.4 pes=77.1
88, -33, 0, 22, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
95, -5, 0, -19, 25.0, 2-36, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
95, -18, 0, 14, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
96, 27, 0, 2, 25.0, 2-39, g_sheep, Sheep, 0-067-354-119, BORN, , , , , 2-38, 3
96, 29, 0, -2, 25.0, 2-38, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
97, -5, 0, 20, 25.0, 1-11, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
97, -6, 0, 19, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-11, g_bush, Bush, 0-067-358-000, heMenjatPes=8.1 pes=82.7
99, 15, 0, 7, 25.0, 1-30, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
99, 15, 0, 7, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-30, g_bush, Bush, 0-067-358-000, heMenjatPes=52.0 pes=77.1
103, 26, 0, -12, 25.0, 1-21, g_bush, Bush, 0-067-358-000, DIED, 2-38, g_sheep, Sheep, 0-067-354-119, PREY
103, 26, 0, -11, 25.0, 2-38, g_sheep, Sheep, 0-067-354-119, EAT, 1-21, g_bush, Bush, 0-067-358-000, heMenjatPes=10.3 pes=76.3
111, 11, 0, 13, 25.0, 1-33, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
111, 11, 0, 13, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-33, g_bush, Bush, 0-067-358-000, heMenjatPes=59.7 pes=77.1
116, -3, 0, 17, 25.0, 1-15, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
116, -4, 0, 18, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-15, g_bush, Bush, 0-067-358-000, heMenjatPes=18.7 pes=82.7
116, 10, 0, 14, 25.0, 1-14, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
116, 10, 0, 13, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-14, g_bush, Bush, 0-067-358-000, heMenjatPes=67.3 pes=77.1
119, 0, 0, 15, 25.0, 2-40, g_sheep, Sheep, 0-067-354-119, BORN, , , , , 2-37, 4
119, -4, 0, 18, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
126, 19, 0, 4, 25.0, 2-39, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
129, 0, 0, 14, 25.0, 1-19, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
129, -1, 0, 14, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-19, g_bush, Bush, 0-067-358-000, heMenjatPes=25.3 pes=82.7
131, -6, 0, 19, 25.0, 2-40, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
134, 9, 0, 19, 25.0, 1-23, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
134, 10, 0, 20, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-23, g_bush, Bush, 0-067-358-000, heMenjatPes=77.9 pes=77.1
134, 33, 0, -10, 25.0, 2-38, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
143, 7, 0, 9, 25.0, 1-6, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
143, 7, 0, 9, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-6, g_bush, Bush, 0-067-358-000, heMenjatPes=33.4 pes=82.7
144, 32, 0, -7, 25.0, 1-41, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
144, 20, 0, -10, 25.0, 1-42, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
145, 0, 0, -18, 25.0, 1-43, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
145, 25, 0, 16, 25.0, 1-44, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
145, 52, 0, 10, 25.0, 1-45, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
146, 22, 0, -5, 25.0, 1-46, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
146, 17, 0, -19, 25.0, 1-47, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
147, -10, 0, -15, 25.0, 1-48, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
