Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 54, 270, -173, 32.3, 6-92, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -54, 200, -165, 33.0, 6-93, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -20, 252, 9, 32.5, 6-94, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 31, 106, 8, 33.9, 6-95, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -5, 163, -49, 33.4, 6-96, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -85, 141, -135, 33.6, 6-97, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 22, 250, -188, 32.5, 6-98, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -12, 148, -135, 33.5, 6-99, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -54, 110, -149, 33.9, 6-100, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 70, 99, -22, 34.0, 6-101, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -32, 111, -141, 33.9, 7-102, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, -129, 246, -31, 32.5, 7-103, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, -124, 219, -150, 32.8, 7-104, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, 21, 82, -34, 34.2, 7-105, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, 64, 257, -158, 32.4, 7-106, g_guineu, Fox, 0-069-352-310, BORN, , , , , , 1
